ADMINLINK,EMPLOYEE,WAVE,SCWM_CWH,RMZFN,STUDYGROUP,CONDITION,SCEM_DISTI,SCEM_STRSI,SCWM_FTWCI,SCWM_WTFCI,SCWM_TIMEALLI
T0001,0,1,2.75,1,27,1,13.0, ,1.0,5.0,3
T0001,0,2,3.0,1,27,1,11.0, ,2.0,4.6,2.333333333333
T0001,0,3,3.125,1,27,1,12.0, ,2.2,4.0,3
T0002,1,1,4.25,1,27,1,8.0,7,2.0,2.2,4.714285714286
T0002,1,2,4.125,1,27,1,10.0,5,2.0,2.0,-8
T0002,1,3,4.0,1,27,1,16.0,10,1.6,2.2,4.4
T0002,1,4,-8.0,1,27,1,9.0,6,2.0,2.0,4.333333333333
T0003,1,1,-8.0,1,27,1,7.0,9,2.2,2.0,4
T0004,1,1,3.0,1,27,1,17.0,11,1.0,3.8,2.857142857143
T0004,1,4,3.25,1,27,1,9.0,6,2.8,2.8,3.285714285714
T0005,1,1,3.125,1,27,1,11.0,9,2.4,4.0,3.428571428571
T0005,1,2,4.875,1,27,1,9.0,9,2.0,2.2,4.285714285714
T0005,1,3,4.25,1,27,1,8.0,8,2.0,2.0,4.285714285714
T0005,1,4,4.375,1,27,1,9.0,8,2.0,2.8,4.285714285714
T0006,1,1,3.375,1,27,1,10.0,6,2.2,3.0,4
T0006,1,2,4.375,1,27,1,8.0,5,2.0,3.4,4
T0006,1,3,2.125,1,27,1,11.0,7,2.4,4.0,-8
T0006,1,4,3.375,1,27,1,8.0,5,2.4,3.8,3.857142857143
T0007,1,1,-8.0,1,27,1,7.0,6,1.8,2.0,4
T0007,1,2,3.625,1,27,1,7.0,5,2.2,3.2,4
T0007,1,3,3.375,1,27,1,12.0,8,2.0,2.2, 
T0007,1,4,-8.0,1,27,1,7.0,6,2.4,3.0,3.666666666667
T0008,1,1,4.25,1,27,1,10.0,7,2.0,2.0,-8
T0008,1,2,4.875,1,27,1,9.0,5,2.0,2.0,4
T0008,1,3,4.5,1,27,1,10.0,8,2.0,2.0,4.285714285714
T0008,1,4,3.875,1,27,1,10.0,7,2.0,2.0,4
T0009,1,1,4.25,1,27,1,10.0,5,2.0,2.0,3.333333333333
T0009,1,2,3.625,1,27,1,8.0,5,2.0,2.2,3
T0009,1,3,3.125,1,27,1,8.0,6,3.0,3.0, 
T0009,1,4,3.375,1,27,1,8.0,5,2.0,2.2,4
T0010,1,1,4.5,1,27,1,10.0,11,4.0,4.0,4.142857142857
T0010,1,2,4.625,1,27,1,6.0,6,2.0,2.0,4.428571428571
